stock,Close,SMA,EMA,rsi,MACD Line,Signal Line,MACD Histogram,advice
AAPL,0.0051997759366595,0.2038904489258345,0.2087286147006604,,0.0,0.0,0.0,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0051336605115709,0.2038904489258345,0.2087286147006604,100.0,-5.2741649643334165e-06,-1.0548329928666831e-06,-4.219331971466733e-06,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0049968484420533,0.2038904489258345,0.2087286147006604,100.0,-2.026002437124832e-05,-4.89587126854301e-06,-1.536415310270531e-05,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0049132719281124,0.2038904489258345,0.2087286147006604,100.0,-3.843727117968602e-05,-1.1604151250771611e-05,-2.6833119928914407e-05,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0049181375386513,0.2038904489258345,0.2087286147006604,100.0,-5.185253241191557e-05,-1.9653827483000404e-05,-3.2198704928915166e-05,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0049187103016408,0.2038904489258345,0.2087286147006604,100.0,-6.172646217120128e-05,-2.806835442064058e-05,-3.3658107750560694e-05,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0050014270076654,0.2038904489258345,0.2087286147006604,69.70570100692407,-6.216052788752657e-05,-3.488678911401778e-05,-2.7273738773508787e-05,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0050143077617535,0.2038904489258345,0.2087286147006604,70.06830776555097,-6.0764701237875536e-05,-4.0062371538789335e-05,-2.07023296990862e-05,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0049187103016408,0.2038904489258345,0.2087286147006604,77.12258543298485,-6.660463784627976e-05,-4.537082480028742e-05,-2.1233813045992333e-05,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
AAPL,0.0049438981622514,0.2038904489258345,0.2087286147006604,73.1340619472777,-6.841177151815838e-05,-4.9979014143861616e-05,-1.8432757374296764e-05,"Hold,The advice provided here is generated for the purpose of this project and should not be relied upon for making actual financial decisions. Always consult with a qualified financial advisor before making any investment decisions"
